Country Code ISO3,Country,IndexScore,IndexRank,SpilloverScore,Regions used for the SDR,id,image
JOR,Jordan,70.13678623680242,72,90.3907,MENA,400,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FF1342F28F0>
JPN,Japan,79.84862288838613,18,68.77790909090909,OECD,392,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1342F2A10>
KAZ,Kazakhstan,71.63931478652067,59,94.6478,E. Europe & C. Asia,398,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FF1342F2B30>
KEN,Kenya,60.59772042483661,118,94.8888,Africa,404,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1342F2C50>
KGZ,Kyrgyz Republic,74.00096329258976,44,96.0337777777778,E. Europe & C. Asia,417,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1342F2D70>
KHM,Cambodia,64.5401156162465,102,98.8452,East & South Asia,116,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1342F2E90>
KIR,Kiribati,,0,,Oceania,296,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1342F2FB0>
KNA,St. Kitts and Nevis,,0,,LAC,659,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1342F30D0>
KOR,"Korea, Rep.",78.59345294117648,28,71.63036363636364,OECD,410,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x34 at 0x7FF1342F31F0>
KWT,Kuwait,62.54488317026112,113,43.2606,MENA,414,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FF1342F3310>
LAO,Lao PDR,63.01227527544352,110,99.22422222222222,East & South Asia,418,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1342F3430>
LBN,Lebanon,66.83783531746032,93,81.1638,MENA,422,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1342F3550>
LBR,Liberia,48.64671694677871,161,98.04911111111112,Africa,430,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x26 at 0x7FF1342F3670>
LBY,Libya,,0,,MENA,434,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FF1342F3790>
LCA,St. Lucia,,0,,LAC,662,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FF1342F38B0>
LIE,Liechtenstein,,0,,E. Europe & C. Asia,438,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1342F39D0>
LKA,Sri Lanka,68.10004586834735,87,96.371,East & South Asia,144,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FF1342F3AF0>
